t,roll,pitch,yaw,aroll,apitch,ax,ay,az,lax,lay,laz
0.21,5.57552801,1.8900329,3.3069494,5.78371531,1.86748601,-0.320591,0.990853,9.78242,-0.463423564,0.973869016,9.89177903
0.215,5.59840415,1.92996242,3.43315852,5.32544443,1.61646917,-0.275314,0.905474,9.71381,-0.427553077,0.960826816,9.85784223
0.22,5.621404,1.95582858,3.55345917,3.95527445,3.34017472,-0.568304,0.671662,9.71418,-0.454392777,0.905686171,9.83044738
0.225,5.64178875,1.98525154,3.66295424,6.47789461,2.28387105,-0.398833,1.12823,9.93643,-0.44379812,0.948122905,9.85065713
0.23,5.66560695,2.02467542,3.77640411,6.35866123,3.83149483,-0.642183,1.06198,9.52983,-0.481628,0.969834238,9.78947882
0.235,5.68274109,2.07033694,3.88689927,6.00241383,1.84183798,-0.311752,1.01377,9.64147,-0.449234459,0.978212319,9.76125512
0.24,5.70033916,2.11230685,3.98508269,6.77922815,3.77527101,-0.644274,1.15255,9.69547,-0.486426419,1.01145665,9.7487106
0.245,5.70555978,2.15943572,4.08335044,4.74725232,3.8229871,-0.678455,0.840269,10.1182,-0.52304422,0.978812995,9.81916829
0.25,5.70726197,2.22864437,4.19783273,6.62279297,4.73399702,-0.82731,1.15219,9.92351,-0.581064458,1.01187414,9.83906514
0.255,5.70640356,2.29562827,4.3143152,3.0894329,0.907023731,-0.157452,0.535996,9.9308,-0.500286082,0.921129256,9.856558
0.26,5.68696687,2.34846904,4.42436349,5.0045872,2.55902591,-0.436022,0.851061,9.71871,-0.488031607,0.907767987,9.83027185
0.265,5.67512102,2.39436846,4.535049,5.35243718,2.54018205,-0.419157,0.881347,9.40702,-0.474897955,0.902729787,9.74956224
0.27,5.6770544,2.41742379,4.65375317,4.63614491,1.13152811,-0.209593,0.857705,10.5768,-0.42430713,0.89414404,9.90730766
0.275,5.6805489,2.44784939,4.77837146,5.19266066,3.47189302,-0.63538,0.94783,10.4297,-0.464556475,0.90438138,10.0069223
0.28,5.69725713,2.49885921,4.90572363,6.78672337,2.76998563,-0.497248,1.21451,10.2053,-0.4707904,0.963519599,10.0447508
0.285,5.7362222,2.55369924,5.0411014,9.05823727,0.968137073,-0.162366,1.51269,9.48832,-0.411977157,1.06824054,9.93864539
0.29,5.76212492,2.61868575,5.17665382,3.9855081,3.59830926,-0.610247,0.67448,9.6807,-0.449785101,0.993154602,9.88945796
0.295,5.77580728,2.6974077,5.30448686,8.21882727,2.64356056,-0.456115,1.4122,9.77723,-0.450992145,1.07306209,9.86805728
0.3,5.80073997,2.78503758,5.42619387,6.5034361,4.37874579,-0.759995,1.12415,9.86128,-0.509915693,1.08280401,9.86676493
0.305,5.83501263,2.87058182,5.53138915,6.08543361,3.28104209,-0.570209,1.05444,9.89044,-0.521412983,1.07739529,9.87127951
0.31,5.86499265,2.94997416,5.62111761,4.24861935,3.75002678,-0.622721,0.703863,9.47471,-0.540731341,1.00616667,9.79565794
0.315,5.88370332,3.05112406,5.70972545,5.13301561,6.7911667,-1.1496,0.863681,9.61478,-0.656836098,0.978996174,9.76116644
0.32,5.90019938,3.16610141,5.79735727,6.3509978,3.48439403,-0.603955,1.09722,9.85804,-0.646752237,1.0015402,9.7796392
0.325,5.90508814,3.27736148,5.89172033,2.73379188,4.22323523,-0.728401,0.470477,9.85294,-0.662321785,0.900272111,9.79361688
0.33,5.8907532,3.38423238,5.99821718,5.97759341,3.73207386,-0.616879,0.984857,9.40567,-0.653656331,0.916401547,9.71963955
0.335,5.86893918,3.48507753,6.10169222,5.8159701,4.16283338,-0.676545,0.94193,9.24749,-0.658020956,0.92126955,9.62960567
0.34,5.84489921,3.58599942,6.20188389,4.27843511,4.58707662,-0.796241,0.74039,9.89669,-0.684378043,0.88677775,9.6805358
0.345,5.79450706,3.67457272,6.30567507,3.1236993,2.79831583,-0.459882,0.512694,9.39466,-0.641569043,0.81544397,9.62602233
0.35,5.71673186,3.73454894,6.41080381,1.92533616,2.2758144,-0.390407,0.330048,9.81815,-0.593675121,0.722884137,9.66265903
0.355,5.63489638,3.78057649,6.51538466,4.04968141,2.85197253,-0.484375,0.686652,9.69872,-0.572832754,0.715975055,9.66953547
0.36,5.556599,3.83737159,6.62511261,6.42642876,2.95193197,-0.51372,1.11505,9.89967,-0.561560583,0.792074389,9.71341967
0.365,5.49201248,3.89479245,6.7411424,5.5414545,5.11523772,-0.850487,0.917471,9.45658,-0.616655768,0.815986185,9.66444309
0.37,5.44919496,3.94634595,6.85520962,5.19711108,3.99058058,-0.693493,0.90047,9.90003,-0.631307808,0.832096347,9.709367
0.375,5.41786801,4.00385772,6.96562481,4.51002783,2.79640105,-0.489974,0.788786,10.0001,-0.604356959,0.823837526,9.76480668
0.38,5.39167052,4.0601245,7.07033222,5.9753166,3.87442046,-0.670461,1.03057,9.84602,-0.616962294,0.863259203,9.78029319
0.385,5.37645546,4.08446273,7.16958922,6.38679478,2.914565,-0.519535,1.13514,10.1411,-0.598383949,0.91510397,9.8490952
0.39,5.36859926,4.08881827,7.27177419,4.47843774,2.75497868,-0.487559,0.791149,10.1011,-0.577250813,0.89146708,9.89714983
0.395,5.37185626,4.10452107,7.38690151,6.4654615,3.31008472,-0.570405,1.11055,9.79969,-0.57594539,0.933243855,9.87856528
0.4,5.38720279,4.14707724,7.50925335,7.34565396,5.87542089,-1.00747,1.25172,9.70981,-0.658232529,0.993973858,9.84638545
0.405,5.41145236,4.22277481,7.63091431,7.22386524,4.8283395,-0.833087,1.24017,9.78418,-0.691575411,1.04092084,9.83452353
0.41,5.44157226,4.30811039,7.74911258,7.48227603,5.68824307,-0.96686,1.26402,9.62419,-0.744069245,1.08346347,9.79441517
0.415,5.47296436,4.37205117,7.87147015,5.47021045,2.07588521,-0.361413,0.950505,9.92546,-0.671100782,1.05810971,9.81940402
0.42,5.48584112,4.4256662,7.98953703,4.14083078,6.68027482,-1.1115,0.685252,9.46517,-0.755080214,0.987009719,9.75185537
0.425,5.47465984,4.48183113,8.08741948,3.37106643,4.65494449,-0.841468,0.607691,10.3166,-0.771553443,0.914677686,9.85954615
0.43,5.47399308,4.53809675,8.18005713,7.17814726,5.75844736,-0.997349,1.23581,9.81254,-0.814610247,0.975914192,9.85058258
0.435,5.48043401,4.60427007,8.26997868,3.32057563,6.23057128,-1.10068,0.583965,10.0649,-0.869160696,0.901173663,9.89145062
0.44,5.47417642,4.667865,8.36855121,5.16843527,3.64404226,-0.629009,0.889728,9.8365,-0.82336633,0.898991097,9.88097213
0.445,5.46971032,4.72098922,8.46578578,7.25035879,4.87855002,-0.840403,1.24264,9.76746,-0.826615041,0.964521277,9.85932657
0.45,5.4616958,4.7551499,8.5419289,3.95938263,4.13904472,-0.69407,0.66226,9.56823,-0.801340116,0.906883276,9.80381756
0.455,5.43499803,4.77070837,8.61558213,4.45786383,3.22703555,-0.55057,0.758993,9.73545,-0.753520931,0.878682178,9.7907806
0.46,5.4096271,4.77601946,8.69062098,5.51236414,3.33340205,-0.582446,0.960606,9.95376,-0.720898767,0.894304177,9.82185903
0.465,5.39064978,4.77915933,8.76820525,4.49532453,5.06285294,-0.865241,0.765464,9.7363,-0.74842329,0.86973573,9.80554384
0.47,5.36316501,4.79559564,8.8428073,2.81188273,5.51659313,-0.921142,0.467879,9.52599,-0.781358906,0.793105939,9.7522359
0.475,5.31697162,4.8079766,8.90861213,4.3554174,3.6968078,-0.618508,0.726987,9.54513,-0.750304975,0.780497763,9.71274302
0.48,5.26267392,4.83159665,8.9762489,5.11897556,8.26583807,-1.38025,0.847712,9.46303,-0.870428771,0.793314801,9.66512541
0.485,5.20854521,4.88711798,9.04597024,4.13965433,5.3797722,-0.893804,0.68515,9.46646,-0.874886177,0.772688927,9.62724204
0.49,5.13716072,4.9483136,9.12381607,0.973864603,6.15534465,-1.07657,0.169665,9.98101,-0.913345131,0.657698698,9.69470181
