t,roll,pitch,yaw
1.615,-0.253178593,11.4479833,29.069988
1.62,-0.28179497,11.4452904,29.1599997
1.625,-0.310404472,11.442311,29.2499541
1.63,-0.339006525,11.4391025,29.3399657
1.635,-0.367599984,11.4355501,29.4299774
1.64,-0.396183703,11.4317113,29.5199891
1.645,-0.424758254,11.4276433,29.6100007
1.65,-0.45332192,11.4232315,29.6999551
1.655,-0.481874126,11.4185333,29.7899668
1.66,-0.5104143,11.4136059,29.8799785
1.665,-0.538941868,11.4083346,29.9699901
1.67,-0.567455686,11.4028342,30.0600018
1.675,-0.595956326,11.3969901,30.1499562
1.68,-0.624438058,11.3909167,30.2399678
1.685,-0.652908331,11.3844996,30.3299795
1.69,-0.681361416,11.3778533,30.4199912
1.695,-0.709797311,11.3708632,30.5100028
1.7,-0.738216018,11.3636439,30.5999572
1.705,-0.766617536,11.3561382,30.6899689
1.71,-0.794996136,11.3482887,30.7799806
1.715,-0.823357547,11.34021,30.8699922
1.72,-0.85169604,11.3318448,30.9600039
1.725,-0.880017344,11.3231931,31.0499583
1.73,-0.90831573,11.314255,31.13997
1.735,-0.936585468,11.3050304,31.2299816
1.74,-0.964838017,11.2955193,31.3199933
1.745,-0.993067648,11.2857217,31.4099477
1.75,-1.02126863,11.2756376,31.4999593
1.755,-1.04944097,11.2653244,31.589971
1.76,-1.07759038,11.2546674,31.6799827
1.765,-1.10571688,11.2437239,31.7699943
1.77,-1.133809,11.2325512,31.8599487
1.775,-1.1618782,11.221092,31.9499604
1.78,-1.18991876,11.2092891,32.0399721
1.785,-1.21792494,11.197257,32.1299837
1.79,-1.24590247,11.1849384,32.2199954
1.795,-1.27385135,11.1723333,32.3099498
1.8,-1.30176585,11.1594991,32.3999614
1.805,-1.32964598,11.146321,32.4899731
1.81,-1.35749746,11.1328565,32.5799848
1.815,-1.38530883,11.1191628,32.6699965
1.82,-1.41309155,11.1051827,32.7599508
1.825,-1.44083417,11.090916,32.8499625
1.83,-1.46854241,11.0763629,32.9399742
1.835,-1.49621627,11.0615233,33.0299858
1.84,-1.52385002,11.0464545,33.1199975
1.845,-1.5514494,11.0310419,33.2099519
1.85,-1.57900867,11.0154002,33.2999636
1.855,-1.60652783,10.999472,33.3899752
1.86,-1.63400689,10.9832573,33.4799869
1.865,-1.66144011,10.9668134,33.5699986
1.87,-1.68883895,10.9500257,33.6599529
1.875,-1.71619196,10.9330089,33.7499646
1.88,-1.74350486,10.9157055,33.8399763
1.885,-1.77077192,10.898173,33.929988
1.89,-1.79799314,10.8802967,34.0199996
1.895,-1.82517426,10.8621913,34.109954
1.9,-1.85230381,10.8437993,34.1999657
1.905,-1.87939326,10.8251209,34.2899773
1.91,-1.90643114,10.8062133,34.379989
1.915,-1.93342318,10.7870192,34.4700007
1.92,-1.96036365,10.7675386,34.5599551
1.925,-1.98725829,10.7478289,34.6499667
1.93,-2.01410137,10.7278327,34.7399784
1.935,-2.0408986,10.70755,34.8299901
1.94,-2.06763854,10.6869808,34.9199444
1.945,-2.09433265,10.6661824,35.0099561
1.95,-2.12096945,10.6450976,35.0999678
1.955,-2.1475547,10.6237835,35.1899795
1.96,-2.17408837,10.6021257,35.2799911
1.965,-2.20057048,10.580296,35.3699455
1.97,-2.22698957,10.5581226,35.4599572
1.975,-2.25335708,10.5357199,35.5499688
1.98,-2.27966731,10.5130881,35.6399805
1.985,-2.30592596,10.4901698,35.7299922
1.99,-2.33212159,10.466965,35.8199466
1.995,-2.35825993,10.4434737,35.9099582
2,-2.38433524,10.4198106,35.9999699
2.005,-2.41035898,10.3958036,36.0899816
2.01,-2.4363197,10.3715675,36.1799932
2.015,-2.46221739,10.3471022,36.2700049
2.02,-2.48805206,10.3223504,36.3599593
2.025,-2.51382943,10.2973122,36.449971
2.03,-2.53954378,10.2720447,36.5399826
2.035,-2.56518937,10.2465481,36.6299943
2.04,-2.59077193,10.220765,36.720006
2.045,-2.6162972,10.1946954,36.8100176
2.05,-2.64174799,10.168454,36.899972
2.055,-2.66713575,10.1418687,36.9899837
2.06,-2.69246048,10.1150543,37.0799954
2.065,-2.71771646,10.0880107,37.170007
2.07,-2.74289796,10.0607379,37.2600187
2.075,-2.76801643,10.0331786,37.3500304
2.08,-2.79306614,10.0053902,37.4399847
2.085,-2.8180471,9.97731524,37.5299964
2.09,-2.84295358,9.94901113,37.6200081
2.095,-2.8677913,9.92047783,37.7100197
2.1,-2.89256026,9.89165805,37.8000314
2.105,-2.91724902,9.86260909,37.8900431
2.11,-2.94187474,9.83327365,37.9799975
2.115,-2.96642025,9.80376632,38.0700091
2.12,-2.99089128,9.77397252,38.1600208
2.125,-3.01528783,9.74394953,38.2500325
2.13,-3.03960988,9.71364006,38.3400441
2.135,-3.06385746,9.68315871,38.4299985
2.14,-3.08803055,9.65239087,38.5200102
2.145,-3.11212342,9.62139386,38.6100219
2.15,-3.13613608,9.59016766,38.7000335
2.155,-3.16007426,9.55865498,38.7900452
2.16,-3.18393222,9.52691312,38.8800569
2.165,-3.20770997,9.49499937,38.9700112
2.17,-3.23140751,9.46279914,39.0600229
2.175,-3.25502483,9.43036973,39.1500346
2.18,-3.27856193,9.39771113,39.2400463
2.185,-3.3020131,9.36476606,39.3300579
2.19,-3.32538405,9.3316491,39.4200696
2.195,-3.34867478,9.29824566,39.510024
2.2,-3.37187384,9.26467033,39.6000356
2.205,-3.39499842,9.23080852,39.6900473
2.21,-3.41803132,9.19677483,39.780059
2.215,-3.44098401,9.16245466,39.8700707
2.22,-3.46384503,9.1279626,39.9600823
2.225,-3.4866201,9.09318406,40.0500367
2.23,-3.50930923,9.05823363,40.1400484
2.235,-3.53191241,9.02299673,40.23006
2.24,-3.55442966,8.98758794,40.3200717
2.245,-3.57684949,8.95189267,40.4100834
2.25,-3.59918912,8.91602551,40.5000951
2.255,-3.62143134,8.87992917,40.5900494
2.26,-3.64358762,8.84360364,40.6800611
2.265,-3.66565222,8.80704894,40.7700728
2.27,-3.68762516,8.77026504,40.8600844
2.275,-3.70950641,8.73330927,40.9500961
2.28,-3.73129027,8.69612431,41.0401078
2.285,-3.75298818,8.65865287,41.1300622
2.29,-3.77458869,8.62100954,41.2200738
2.29501,-3.7960918,8.58319432,41.3100855
2.30001,-3.81750323,8.54509263,41.4000972
2.30501,-3.83881726,8.50681905,41.4901088
2.31001,-3.86003962,8.46831628,41.5801205
2.31501,-3.88115884,8.42964163,41.6700749
2.32001,-3.90218639,8.3907378,41.7600865
2.32501,-3.92311654,8.35160478,41.8500982
2.33001,-3.94394356,8.31224258,41.9401099
2.33501,-3.9646789,8.27270849,42.0301216
2.34001,-3.98531111,8.23294522,42.1201332
2.34501,-4.00584019,8.19301006,42.2100876
2.35001,-4.02627759,8.15284572,42.3000993
2.35501,-4.04660614,8.11245219,42.3901109
2.36001,-4.06683728,8.07188678,42.4801226
2.36501,-4.08696528,8.03114948,42.5701343
2.37001,-4.10699589,7.990183,42.660146
2.37501,-4.12691763,7.94898733,42.7501003
2.38001,-4.14674197,7.90761978,42.840112
2.38501,-4.16645745,7.86602304,42.9301237
2.39001,-4.18606979,7.82431172,43.0201353
2.39501,-4.20557901,7.78231391,43.110147
2.40001,-4.22498509,7.74020151,43.2001587
2.40501,-4.24428231,7.69780263,43.2901131
2.41001,-4.26347639,7.65528917,43.3801247
2.41501,-4.28256162,7.61254651,43.4701364
2.42001,-4.30153798,7.56963197,43.5601481
2.42501,-4.32040548,7.52654555,43.6501597
2.43001,-4.33916985,7.48322994,43.7401714
2.43501,-4.35782535,7.43974244,43.8301258
2.44001,-4.376372,7.39608306,43.9201375
2.44501,-4.39480405,7.35219449,44.0101491
2.45001,-4.41313297,7.30819133,44.1001608
2.45501,-4.4313473,7.26395899,44.1901725
2.46001,-4.44945276,7.21955476,44.2801841
2.46501,-4.46744364,7.17497864,44.3701385
2.47001,-4.48532565,7.13017334,44.4601502
2.47501,-4.5030988,7.08525345,44.5501619
2.48001,-4.52075163,7.04010438,44.6401735
2.48501,-4.53830133,6.99484071,44.7301852
2.49001,-4.55573071,6.94934786,44.8201969
2.49501,-4.57304549,6.90374042,44.9101512
2.50001,-4.59024569,6.8579038,45.0001629
2.50501,-4.60733702,6.81189528,45.0901746
2.51001,-4.62430803,6.76577218,45.1801862
2.51501,-4.64116444,6.7194199,45.2701979
2.52001,-4.65790627,6.67289572,45.3602096
2.52501,-4.67452778,6.62625696,45.450164
2.53001,-4.69104042,6.5794463,45.5401756
2.53501,-4.70742701,6.53246377,45.6301873
2.54001,-4.72369902,6.48525204,45.720199
2.54501,-4.73985643,6.43798302,45.8102106
2.55001,-4.75589351,6.39048482,45.9002223
2.55501,-4.77181028,6.34281473,45.9901767
