t qw qx qy qz px py pz wx wy wz ax ay az roll pitch yaw 
0.36 0.881749 0.434529 0.181239 -0.0292491 0 0 0 -0.460669 0.792484 -0.578635 -3.38477 7.41331 5.46098 0.935897 0.352274 0.113097 
0.365 0.881849 0.433301 0.183645 -0.029451 0 0 0 -0.466722 0.792044 -0.576107 -3.42778 7.39081 5.46465 0.934124 0.356949 0.114668 
0.37 0.881948 0.432058 0.186048 -0.0296448 0 0 0 -0.47276 0.791593 -0.573548 -3.47064 7.36805 5.46832 0.932327 0.361615 0.116239 
0.375 0.882049 0.4308 0.188445 -0.0298303 0 0 0 -0.478785 0.791131 -0.570958 -3.51333 7.34505 5.47201 0.930508 0.366272 0.11781 
0.38 0.882149 0.429527 0.190838 -0.0300076 0 0 0 -0.484795 0.790657 -0.568338 -3.55586 7.3218 5.4757 0.928665 0.37092 0.11938 
0.385 0.88225 0.428238 0.193226 -0.0301765 0 0 0 -0.49079 0.790171 -0.565688 -3.59824 7.2983 5.47939 0.926799 0.375559 0.120951 
0.39 0.882351 0.426935 0.195609 -0.0303369 0 0 0 -0.496771 0.789672 -0.563009 -3.64044 7.27455 5.48308 0.924909 0.380188 0.122522 
0.395 0.882453 0.425616 0.197987 -0.0304887 0 0 0 -0.502737 0.789162 -0.560299 -3.68249 7.25056 5.48678 0.922997 0.384808 0.124093 
0.4 0.882554 0.424282 0.20036 -0.030632 0 0 0 -0.508689 0.788638 -0.55756 -3.72437 7.22633 5.49047 0.921061 0.389418 0.125664 
0.405 0.882656 0.422933 0.202728 -0.0307665 0 0 0 -0.514625 0.788102 -0.554792 -3.76608 7.20187 5.49416 0.919102 0.394019 0.127234 
0.41 0.882758 0.42157 0.20509 -0.0308922 0 0 0 -0.520546 0.787553 -0.551995 -3.80762 7.17717 5.49785 0.917121 0.398609 0.128805 
0.415 0.882861 0.420191 0.207448 -0.031009 0 0 0 -0.526451 0.786991 -0.549169 -3.849 7.15223 5.50154 0.915116 0.40319 0.130376 
0.42 0.882963 0.418798 0.2098 -0.0311169 0 0 0 -0.532341 0.786415 -0.546314 -3.8902 7.12707 5.50522 0.913089 0.40776 0.131947 
0.425 0.883065 0.417391 0.212146 -0.0312157 0 0 0 -0.538216 0.785825 -0.54343 -3.93122 7.10167 5.50888 0.911039 0.412321 0.133518 
0.43 0.883168 0.415968 0.214487 -0.0313054 0 0 0 -0.544074 0.785222 -0.540519 -3.97208 7.07605 5.51254 0.908966 0.416871 0.135088 
0.435 0.88327 0.414531 0.216823 -0.0313859 0 0 0 -0.549916 0.784605 -0.537579 -4.01276 7.05021 5.51619 0.90687 0.42141 0.136659 
0.44 0.883373 0.41308 0.219153 -0.0314571 0 0 0 -0.555742 0.783973 -0.534612 -4.05326 7.02415 5.51983 0.904752 0.425939 0.13823 
0.445 0.883475 0.411614 0.221477 -0.031519 0 0 0 -0.561552 0.783326 -0.531617 -4.09358 6.99787 5.52345 0.902611 0.430458 0.139801 
0.45 0.883577 0.410134 0.223796 -0.0315714 0 0 0 -0.567345 0.782665 -0.528594 -4.13373 6.97137 5.52706 0.900447 0.434965 0.141372 
0.455 0.883679 0.40864 0.226109 -0.0316144 0 0 0 -0.573122 0.781989 -0.525544 -4.17369 6.94466 5.53065 0.898261 0.439462 0.142942 
0.46 0.883781 0.407131 0.228415 -0.0316478 0 0 0 -0.578882 0.781298 -0.522468 -4.21347 6.91774 5.53422 0.896053 0.443948 0.144513 
0.465 0.883883 0.405609 0.230716 -0.0316715 0 0 0 -0.584625 0.780591 -0.519365 -4.25307 6.89061 5.53778 0.893822 0.448423 0.146084 
0.47 0.883984 0.404072 0.233011 -0.0316855 0 0 0 -0.59035 0.779869 -0.516235 -4.29249 6.86328 5.54131 0.891568 0.452886 0.147655 
0.475 0.884085 0.402522 0.2353 -0.0316898 0 0 0 -0.596059 0.779131 -0.513079 -4.33172 6.83574 5.54482 0.889293 0.457338 0.149226 
0.48 0.884186 0.400957 0.237582 -0.0316842 0 0 0 -0.60175 0.778376 -0.509897 -4.37076 6.808 5.5483 0.886995 0.461779 0.150796 
0.485 0.884286 0.399379 0.239858 -0.0316687 0 0 0 -0.607423 0.777605 -0.506689 -4.40962 6.78007 5.55176 0.884675 0.466208 0.152367 
0.49 0.884386 0.397787 0.242128 -0.0316432 0 0 0 -0.613079 0.776818 -0.503456 -4.44829 6.75194 5.5552 0.882333 0.470626 0.153938 
0.495 0.884485 0.396181 0.244392 -0.0316077 0 0 0 -0.618717 0.776014 -0.500198 -4.48676 6.72361 5.5586 0.879969 0.475031 0.155509 
0.5 0.884584 0.394562 0.246649 -0.031562 0 0 0 -0.624337 0.775193 -0.496915 -4.52505 6.6951 5.56198 0.877583 0.479425 0.15708 
0.505 0.884682 0.39293 0.248899 -0.0315062 0 0 0 -0.629939 0.774354 -0.493606 -4.56315 6.6664 5.56532 0.875175 0.483807 0.15865 
0.51 0.88478 0.391283 0.251143 -0.0314401 0 0 0 -0.635523 0.773499 -0.490274 -4.60105 6.63752 5.56864 0.872745 0.488177 0.160221 
0.515 0.884877 0.389624 0.25338 -0.0313638 0 0 0 -0.641088 0.772625 -0.486917 -4.63876 6.60846 5.57192 0.870293 0.492535 0.161792 
0.52 0.884974 0.387951 0.25561 -0.031277 0 0 0 -0.646635 0.771733 -0.483536 -4.67628 6.57921 5.57516 0.867819 0.49688 0.163363 
0.525 0.88507 0.386265 0.257834 -0.0311799 0 0 0 -0.652163 0.770824 -0.480132 -4.7136 6.5498 5.57837 0.865324 0.501213 0.164934 
0.53 0.885165 0.384566 0.260051 -0.0310723 0 0 0 -0.657672 0.769896 -0.476704 -4.75073 6.5202 5.58154 0.862807 0.505533 0.166504 
0.535 0.885259 0.382855 0.26226 -0.0309542 0 0 0 -0.663162 0.768949 -0.473253 -4.78766 6.49044 5.58468 0.860269 0.509841 0.168075 
0.54 0.885353 0.38113 0.264463 -0.0308255 0 0 0 -0.668634 0.767983 -0.469779 -4.82439 6.46051 5.58777 0.857709 0.514136 0.169646 
0.545 0.885445 0.379392 0.266658 -0.0306861 0 0 0 -0.674086 0.766998 -0.466283 -4.86092 6.43042 5.59082 0.855127 0.518418 0.171217 
0.55 0.885537 0.377641 0.268846 -0.0305361 0 0 0 -0.679518 0.765994 -0.462764 -4.89725 6.40016 5.59383 0.852525 0.522687 0.172787 
0.555 0.885628 0.375878 0.271027 -0.0303753 0 0 0 -0.684932 0.764971 -0.459224 -4.93338 6.36974 5.5968 0.849901 0.526943 0.174358 
0.56 0.885718 0.374102 0.273201 -0.0302037 0 0 0 -0.690325 0.763927 -0.455661 -4.96932 6.33917 5.59972 0.847255 0.531186 0.175929 
0.565 0.885807 0.372314 0.275367 -0.0300213 0 0 0 -0.695699 0.762864 -0.452078 -5.00505 6.30845 5.6026 0.844589 0.535416 0.1775 
0.57 0.885895 0.370513 0.277525 -0.029828 0 0 0 -0.701053 0.76178 -0.448473 -5.04058 6.27757 5.60543 0.841901 0.539632 0.179071 
0.575 0.885982 0.3687 0.279676 -0.0296237 0 0 0 -0.706387 0.760676 -0.444847 -5.0759 6.24654 5.60821 0.839193 0.543834 0.180641 
0.58 0.886068 0.366874 0.28182 -0.0294085 0 0 0 -0.711701 0.759551 -0.441201 -5.11102 6.21537 5.61094 0.836463 0.548024 0.182212 
0.585 0.886152 0.365037 0.283955 -0.0291822 0 0 0 -0.716995 0.758405 -0.437534 -5.14594 6.18406 5.61362 0.833712 0.552199 0.183783 
0.59 0.886236 0.363187 0.286083 -0.0289449 0 0 0 -0.722268 0.757238 -0.433848 -5.18065 6.15261 5.61625 0.830941 0.556361 0.185354 
0.595 0.886318 0.361325 0.288203 -0.0286964 0 0 0 -0.727521 0.75605 -0.430142 -5.21516 6.12102 5.61883 0.828149 0.560508 0.186925 
0.6 0.886399 0.359452 0.290315 -0.0284368 0 0 0 -0.732753 0.75484 -0.426416 -5.24946 6.0893 5.62136 0.825336 0.564642 0.188495 
0.605 0.886478 0.357566 0.292419 -0.028166 0 0 0 -0.737965 0.753608 -0.422672 -5.28356 6.05745 5.62383 0.822502 0.568762 0.190066 
