t qw qx qy qz px py pz wx wy wz ax ay az roll pitch yaw 
0.225 0.997979 0.0478905 0.0239895 0.0341986 19.9625 6.41254 5.64945 -0.0889991 0.38852 0.380964 -1.50699 0.797454 2.92177 0.0974794 0.0446213 0.0706858 
0.23 0.997944 0.0477973 0.0245112 0.0349597 19.9609 6.44388 5.66131 -0.409816 0.0296788 0.72623 -1.53777 0.690476 2.90446 0.0973666 0.0455955 0.0722566 
0.235 0.997909 0.0477021 0.0250322 0.0357208 19.9591 6.47521 5.67301 -0.398784 0.0641178 0.0117254 -1.52299 -0.123893 3.52311 0.0972514 0.0465686 0.0738274 
0.24 0.997873 0.0476048 0.0255524 0.036482 19.9574 6.50654 5.68455 0.128136 0.303967 0.248217 -1.25267 0.330219 3.05502 0.0971338 0.0475405 0.0753982 
0.245 0.997836 0.0475056 0.0260718 0.0372433 19.9556 6.53786 5.69591 -0.13716 0.1009 0.013806 -1.77479 0.151564 2.75251 0.0970137 0.0485112 0.076969 
0.25 0.997798 0.0474045 0.0265904 0.0380047 19.9538 6.56918 5.70711 -0.142213 0.321272 0.369643 -1.62967 0.269066 2.89983 0.0968912 0.0494808 0.0785398 
0.255 0.99776 0.0473013 0.0271082 0.0387661 19.9519 6.6005 5.71813 0.119329 0.188342 0.128457 -1.15178 0.694291 2.63659 0.0967663 0.0504491 0.0801106 
0.26 0.997721 0.0471962 0.0276252 0.0395277 19.95 6.63181 5.72897 0.0922937 0.226939 -0.342982 -1.59667 0.563217 2.4259 0.096639 0.0514161 0.0816814 
0.265 0.997681 0.0470891 0.0281414 0.0402893 19.948 6.66312 5.73963 -0.270876 0.679206 0.370939 -2.22681 0.165044 1.91252 0.0965093 0.0523818 0.0832522 
0.27 0.99764 0.04698 0.0286567 0.041051 19.9461 6.69443 5.75011 -0.213027 0.147508 0.296263 -1.45016 0.189532 2.23829 0.0963771 0.0533463 0.084823 
0.275 0.997599 0.046869 0.0291711 0.0418127 19.9441 6.72573 5.76041 0.333836 0.504057 0.214365 -1.39661 0.0224539 2.42039 0.0962425 0.0543094 0.0863938 
0.28 0.997557 0.046756 0.0296846 0.0425746 19.942 6.75702 5.77051 0.154684 0.121257 0.406757 -1.10025 0.457035 2.37957 0.0961055 0.0552711 0.0879646 
0.285 0.997514 0.046641 0.0301972 0.0433365 19.9399 6.78832 5.78043 0.267468 0.309712 0.699885 -1.71968 0.444574 2.84939 0.0959662 0.0562315 0.0895354 
0.29 0.997471 0.0465241 0.0307089 0.0440985 19.9378 6.8196 5.79015 -0.0262994 0.231584 -0.108206 -1.57095 0.211224 1.98047 0.0958244 0.0571904 0.0911061 
0.295 0.997426 0.0464053 0.0312197 0.0448607 19.9356 6.85089 5.79968 -0.352216 0.00161746 0.225883 -1.57252 -0.0705094 1.70306 0.0956802 0.0581479 0.0926769 
0.3 0.997381 0.0462845 0.0317295 0.0456229 19.9334 6.88217 5.80902 -0.0393796 0.0294357 0.374733 -1.18632 0.3131 1.245 0.0955337 0.059104 0.0942477 
0.305 0.997336 0.0461618 0.0322384 0.0463852 19.9312 6.91344 5.81815 -0.180265 0.345135 0.143749 -1.43949 -0.153809 1.11647 0.0953847 0.0600586 0.0958185 
0.31 0.997289 0.0460372 0.0327462 0.0471475 19.9289 6.94471 5.82708 -0.0404408 -0.0511817 0.212358 -1.66398 0.049151 1.59113 0.0952334 0.0610117 0.0973893 
0.315 0.997242 0.0459106 0.0332531 0.04791 19.9266 6.97597 5.83581 -0.0262634 0.351509 0.373357 -1.40616 0.342496 1.97769 0.0950796 0.0619633 0.0989601 
0.32 0.997194 0.0457821 0.033759 0.0486726 19.9243 7.00723 5.84433 0.397925 0.129558 0.311981 -1.84719 -0.166328 1.55609 0.0949235 0.0629133 0.100531 
0.325 0.997145 0.0456517 0.0342638 0.0494353 19.9219 7.03849 5.85264 0.0713455 0.375992 0.499415 -1.68994 -0.187636 1.57126 0.0947651 0.0638617 0.102102 
0.33 0.997095 0.0455194 0.0347676 0.050198 19.9195 7.06974 5.86074 -0.152317 0.575467 0.620675 -1.46023 0.69097 1.0484 0.0946042 0.0648086 0.103673 
0.335 0.997045 0.0453852 0.0352703 0.0509609 19.917 7.10098 5.86863 0.17998 0.053348 0.231612 -1.3769 -0.129698 1.02451 0.094441 0.0657538 0.105243 
0.34 0.996994 0.045249 0.0357719 0.0517239 19.9145 7.13222 5.87631 -0.263132 0.0288112 0.294702 -1.75023 -0.203075 0.980231 0.0942755 0.0666974 0.106814 
0.345 0.996943 0.045111 0.0362725 0.0524869 19.912 7.16346 5.88377 0.179235 0.261153 0.293413 -1.80311 -0.282403 0.761796 0.0941076 0.0676393 0.108385 
0.35 0.99689 0.0449711 0.036772 0.0532501 19.9094 7.19469 5.89101 0.0406805 -0.0128101 0.231657 -1.67655 0.66154 0.616121 0.0939373 0.0685795 0.109956 
0.355 0.996837 0.0448293 0.0372703 0.0540134 19.9068 7.22591 5.89803 -0.0968988 0.615711 0.186451 -2.04593 0.131448 0.816248 0.0937647 0.069518 0.111526 
0.36 0.996783 0.0446856 0.0377675 0.0547767 19.9042 7.25713 5.90483 0.0311258 0.229615 0.677627 -2.12815 0.649768 1.04496 0.0935897 0.0704548 0.113097 
0.365 0.996728 0.0445401 0.0382635 0.0555402 19.9015 7.28834 5.9114 -0.124824 0.266272 0.285714 -1.85956 -0.148625 0.48479 0.0934124 0.0713898 0.114668 
0.37 0.996673 0.0443926 0.0387584 0.0563038 19.8988 7.31955 5.91775 0.194647 0.00724894 0.294948 -1.88953 -0.18065 0.936116 0.0932327 0.072323 0.116239 
0.375 0.996617 0.0442433 0.0392521 0.0570675 19.896 7.35075 5.92388 -0.4152 0.180742 0.246774 -1.42209 0.0126363 0.714372 0.0930508 0.0732545 0.11781 
0.38 0.99656 0.0440922 0.0397446 0.0578313 19.8932 7.38194 5.92978 -0.113762 0.216093 0.0292222 -1.52508 0.269137 -0.117482 0.0928665 0.0741841 0.11938 
0.385 0.996502 0.0439392 0.0402359 0.0585952 19.8904 7.41313 5.93544 -0.309335 0.127275 0.737356 -2.1877 -0.16814 0.703914 0.0926799 0.0751118 0.120951 
0.39 0.996444 0.0437843 0.040726 0.0593592 19.8876 7.44431 5.94088 -0.268929 0.272383 0.115864 -1.38421 0.0931895 0.675914 0.0924909 0.0760376 0.122522 
0.395 0.996385 0.0436277 0.0412149 0.0601233 19.8847 7.47549 5.94609 -0.150894 0.45925 0.0689288 -1.46432 -0.0511658 0.545771 0.0922997 0.0769616 0.124093 
0.4 0.996325 0.0434691 0.0417024 0.0608876 19.8817 7.50666 5.95106 -0.124775 -0.418722 0.505574 -1.47194 0.251982 0.432464 0.0921061 0.0778836 0.125664 
0.405 0.996265 0.0433088 0.0421887 0.061652 19.8787 7.53783 5.95579 -0.274322 0.0362098 0.489401 -1.54684 0.169756 -0.00953482 0.0919102 0.0788037 0.127234 
0.41 0.996204 0.0431466 0.0426738 0.0624164 19.8757 7.56899 5.96029 -0.245573 -0.245944 0.308342 -1.33722 -0.0456007 0.116434 0.0917121 0.0797218 0.128805 
0.415 0.996142 0.0429826 0.0431575 0.063181 19.8727 7.60014 5.96456 -0.311635 0.188394 0.0312251 -1.41519 0.237618 0.372209 0.0915116 0.0806379 0.130376 
