t,x,y,theta,x_i,y_i,theta_i
197.080127,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38142512
197.084072,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38142166
197.090423,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38140928
197.092091,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38140603
197.09636,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38142171
197.100414,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3814366
197.104038,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144992
197.109881,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3814616
197.113354,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38146853
197.116233,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38146014
197.123608,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38143865
197.126828,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38142926
197.129287,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38142876
197.132086,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38142818
197.136354,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38143614
197.141569,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144586
197.144119,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38145062
197.148711,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38143844
197.152075,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38142951
197.156137,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38143164
197.161114,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38143424
197.16411,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38143581
197.168644,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144332
197.176629,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3814566
197.176787,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3814569
197.180888,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38146472
197.184311,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38147127
197.189176,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38146
197.193254,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38145056
197.196103,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38145146
197.200732,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38145291
197.204101,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38145397
197.20989,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38146741
197.213185,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38147507
197.216043,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38148171
197.2207,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38146945
197.227531,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38145148
197.228513,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144974
197.233031,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144171
197.236052,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38143635
197.241714,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144455
197.244041,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144792
197.248086,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144044
197.252915,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3814315
197.25624,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38142533
197.263706,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38140453
197.26558,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3813993
197.268028,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38140464
197.27665,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38142342
197.276868,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3814239
197.280345,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38143079
197.285278,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144057
197.288141,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38143567
197.29271,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38142787
197.296027,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3814222
197.300783,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38142579
197.323373,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144296
197.326258,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144879
