time_s,dpx,dpy,px,py,theta
148.583,6.09644e-08,-5.25139e-08,0.000106746,-4.80297e-08,0.00105689
148.587,1.4231e-06,-1.22584e-06,0.000108169,-4.93252e-08,0.00107098
148.591,1.85605e-06,-1.59878e-06,0.000110025,-5.10375e-08,0.00108936
148.596,9.39103e-07,-8.0893e-07,0.000110964,-5.19187e-08,0.00109866
148.599,5.39065e-07,-4.64343e-07,0.000111504,-5.24289e-08,0.001104
148.603,8.67505e-07,-7.47257e-07,0.000112371,-5.32539e-08,0.00111258
148.608,2.90266e-07,-2.50031e-07,0.000112661,-5.3532e-08,0.00111546
148.611,2.16784e-07,-1.86735e-07,0.000112878,-5.37403e-08,0.00111761
148.616,2.64331e-07,-2.27691e-07,0.000113142,-5.39948e-08,0.00112022
148.619,1.58476e-07,-1.36509e-07,0.000113301,-5.41477e-08,0.00112179
148.624,2.58738e-07,-2.22874e-07,0.00011356,-5.43977e-08,0.00112435
148.627,9.76995e-07,-8.4157e-07,0.000114537,-5.5344e-08,0.00113403
148.631,1.15104e-06,-9.91489e-07,0.000115688,-5.64683e-08,0.00114542
148.636,1.45117e-06,-1.25002e-06,0.000117139,-5.79001e-08,0.00115979
148.639,3.09857e-07,-2.66906e-07,0.000117449,-5.82097e-08,0.00116286
148.649,9.79594e-07,-8.43809e-07,0.000118428,-5.91909e-08,0.00117256
148.65,4.27075e-08,-3.67876e-08,0.000118471,-5.9234e-08,0.00117298
148.66,1.97605e-06,-1.70214e-06,0.000120447,-6.12306e-08,0.00119255
148.66,3.78041e-08,-3.2564e-08,0.000120485,-6.12695e-08,0.00119292
148.66,3.40049e-08,-2.92914e-08,0.000120519,-6.13044e-08,0.00119326
148.663,9.75304e-07,-8.40113e-07,0.000121494,-6.23069e-08,0.00120291
148.668,-1.33314e-07,1.14835e-07,0.000121361,-6.21687e-08,0.00120159
148.671,-7.70289e-08,6.63516e-08,0.000121284,-6.2089e-08,0.00120083
148.675,-1.23569e-07,1.06441e-07,0.00012116,-6.19612e-08,0.00119961
148.679,5.32898e-07,-4.59031e-07,0.000121693,-6.25118e-08,0.00120488
148.683,6.6068e-07,-5.69101e-07,0.000122354,-6.31975e-08,0.00121142
148.688,1.20284e-06,-1.03611e-06,0.000123557,-6.44527e-08,0.00122333
148.692,9.42074e-07,-8.1149e-07,0.000124499,-6.54454e-08,0.00123266
148.695,8.52264e-07,-7.34129e-07,0.000125351,-6.63504e-08,0.0012411
148.699,3.3327e-07,-2.87074e-07,0.000125684,-6.67067e-08,0.0012444
148.703,3.74301e-07,-3.22417e-07,0.000126059,-6.71079e-08,0.0012481
148.708,1.57972e-06,-1.36075e-06,0.000127638,-6.88062e-08,0.00126375
148.711,7.92981e-07,-6.83063e-07,0.000128431,-6.96694e-08,0.0012716
148.715,1.2887e-06,-1.11007e-06,0.00012972,-7.1081e-08,0.00128436
148.719,5.39367e-07,-4.64603e-07,0.000130259,-7.16777e-08,0.0012897
148.723,6.14893e-07,-5.2966e-07,0.000130874,-7.23608e-08,0.00129578
148.728,7.51082e-07,-6.46972e-07,0.000131625,-7.31992e-08,0.00130322
148.731,5.11893e-07,-4.40937e-07,0.000132137,-7.37738e-08,0.00130829
148.735,6.96353e-07,-5.99829e-07,0.000132834,-7.45585e-08,0.00131518
148.739,-5.07873e-08,4.37475e-08,0.000132783,-7.4501e-08,0.00131468
148.743,-5.28299e-08,4.55069e-08,0.00013273,-7.44412e-08,0.00131416
148.747,2.53743e-07,-2.1857e-07,0.000132984,-7.47284e-08,0.00131667
